test_flag,webflow_id,session_id,is_conversion
pre_test,A,100000,0
pre_test,A,100001,0
pre_test,A,100002,0
pre_test,A,100003,0
pre_test,A,100004,0
pre_test,A,100005,0
pre_test,A,100006,0
pre_test,A,100007,1
pre_test,A,100008,0
pre_test,A,100009,0
pre_test,A,100010,0
pre_test,A,100011,0
pre_test,A,100012,0
pre_test,A,100013,0
pre_test,A,100014,0
pre_test,A,100015,1
pre_test,A,100016,0
pre_test,A,100017,0
pre_test,A,100018,0
pre_test,A,100019,0
pre_test,A,100020,0
pre_test,A,100021,0
pre_test,A,100022,1
pre_test,A,100023,1
pre_test,A,100024,1
pre_test,A,100025,0
pre_test,A,100026,0
pre_test,A,100027,0
pre_test,A,100028,0
pre_test,A,100029,0
pre_test,A,100030,1
pre_test,A,100031,1
pre_test,A,100032,0
pre_test,A,100033,0
pre_test,A,100034,0
pre_test,A,100035,0
pre_test,A,100036,0
pre_test,A,100037,0
pre_test,A,100038,1
pre_test,A,100039,0
pre_test,A,100040,0
pre_test,A,100041,1
pre_test,A,100042,1
pre_test,A,100043,1
pre_test,A,100044,0
pre_test,A,100045,0
pre_test,A,100046,0
pre_test,A,100047,1
pre_test,A,100048,0
pre_test,A,100049,0
pre_test,A,100050,0
pre_test,A,100051,0
pre_test,A,100052,0
pre_test,A,100053,0
pre_test,A,100054,1
pre_test,A,100055,0
pre_test,A,100056,0
pre_test,A,100057,0
pre_test,A,100058,0
pre_test,A,100059,0
pre_test,A,100060,1
pre_test,A,100061,1
pre_test,A,100062,0
pre_test,A,100063,0
pre_test,A,100064,0
pre_test,A,100065,0
pre_test,A,100066,0
pre_test,A,100067,0
pre_test,A,100068,0
pre_test,A,100069,0
pre_test,A,100070,0
pre_test,A,100071,0
pre_test,A,100072,0
pre_test,A,100073,0
pre_test,A,100074,0
pre_test,A,100075,0
pre_test,A,100076,1
pre_test,A,100077,0
pre_test,A,100078,0
pre_test,A,100079,0
pre_test,A,100080,1
pre_test,A,100081,0
pre_test,A,100082,1
pre_test,A,100083,0
pre_test,A,100084,0
pre_test,A,100085,0
pre_test,A,100086,0
pre_test,A,100087,0
pre_test,A,100088,0
pre_test,A,100089,0
pre_test,A,100090,0
pre_test,A,100091,0
pre_test,A,100092,0
pre_test,A,100093,0
pre_test,A,100094,0
pre_test,A,100095,0
pre_test,A,100096,1
pre_test,A,100097,0
pre_test,A,100098,0
pre_test,A,100099,0
pre_test,A,100100,0
pre_test,A,100101,0
pre_test,A,100102,0
pre_test,A,100103,1
pre_test,A,100104,1
pre_test,A,100105,0
pre_test,A,100106,0
pre_test,A,100107,0
pre_test,A,100108,0
pre_test,A,100109,0
pre_test,A,100110,0
pre_test,A,100111,0
pre_test,A,100112,1
pre_test,A,100113,0
pre_test,A,100114,0
pre_test,A,100115,0
